BugId,Total,jaccard,Exam Score,FLASH_FL,Exam Score,Diff,Exam Score Diff,Total,tarantula,Exam Score,FLASH_FL,Exam Score,Diff,Exam Score Diff,Total,ochiai,Exam Score,FLASH_FL,Exam Score,Diff,Exam Score Diff,Total,dstar,Exam Score,FLASH_FL,Exam Score,Diff,Exam Score Diff
closure23,2441,2441,1.0000,2441,1.0000,0,0.0000,2441,2441,1.0000,2441,1.0000,0,0.0000,2441,2441,1.0000,2441,1.0000,0,0.0000,2441,2441,1.0000,2441,1.0000,0,0.0000
closure24,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000
closure25,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000
closure26,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000
closure27,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000
closure28,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000
closure29,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000
closure30,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000
closure31,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000
closure32,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000
closure33,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000
closure34,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000
closure35,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000
closure36,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000
closure37,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000
closure38,1405,53,0.0377,41,0.0292,-12,-0.0085,1405,53,0.0377,41,0.0292,-12,-0.0085,1405,53,0.0377,41,0.0292,-12,-0.0085,1405,53,0.0377,41,0.0292,-12,-0.0085
closure39,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013
closure40,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000
closure41,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000
closure42,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000
closure43,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000
closure44,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000
closure45,3456,348,0.1007,2409,0.6970,2061,0.5964,3456,348,0.1007,2409,0.6970,2061,0.5964,3456,348,0.1007,2409,0.6970,2061,0.5964,3456,348,0.1007,2409,0.6970,2061,0.5964
closure46,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000
closure47,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000
closure48,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000
closure49,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000
closure50,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000
closure51,1369,54,0.0394,43,0.0314,-11,-0.0080,1369,54,0.0394,43,0.0314,-11,-0.0080,1369,54,0.0394,43,0.0314,-11,-0.0080,1369,54,0.0394,43,0.0314,-11,-0.0080
closure52,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000
closure53,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000
closure54,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000
closure55,2999,329,0.1097,260,0.0867,-69,-0.0230,2999,329,0.1097,260,0.0867,-69,-0.0230,2999,329,0.1097,260,0.0867,-69,-0.0230,2999,329,0.1097,260,0.0867,-69,-0.0230
closure56,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000
closure57,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016
closure58,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000
closure59,8676,8126,0.9366,6023,0.6942,-2103,-0.2424,8676,8120,0.9359,6023,0.6942,-2097,-0.2417,8676,8134,0.9375,6023,0.6942,-2111,-0.2433,8676,8134,0.9375,6023,0.6942,-2111,-0.2433
closure60,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000
closure61,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000
closure62,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000
closure63,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000
closure64,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000
closure65,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000
closure66,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000
closure67,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000
closure68,1076,1076,1.0000,1076,1.0000,0,0.0000,1076,1076,1.0000,1076,1.0000,0,0.0000,1076,1076,1.0000,1076,1.0000,0,0.0000,1076,1076,1.0000,1076,1.0000,0,0.0000
closure69,5019,5019,1.0000,5019,1.0000,0,0.0000,5019,5019,1.0000,5019,1.0000,0,0.0000,5019,5019,1.0000,5019,1.0000,0,0.0000,5019,5019,1.0000,5019,1.0000,0,0.0000
closure70,4799,4799,1.0000,4799,1.0000,0,0.0000,4799,4799,1.0000,4799,1.0000,0,0.0000,4799,4799,1.0000,4799,1.0000,0,0.0000,4799,4799,1.0000,4799,1.0000,0,0.0000
closure71,4560,63,0.0138,60,0.0132,-3,-0.0007,4560,63,0.0138,60,0.0132,-3,-0.0007,4560,60,0.0132,58,0.0127,-2,-0.0004,4560,60,0.0132,58,0.0127,-2,-0.0004
closure72,3528,3528,1.0000,3528,1.0000,0,0.0000,3528,3528,1.0000,3528,1.0000,0,0.0000,3528,3528,1.0000,3528,1.0000,0,0.0000,3528,3528,1.0000,3528,1.0000,0,0.0000
closure73,1326,16,0.0121,13,0.0098,-3,-0.0023,1326,16,0.0121,13,0.0098,-3,-0.0023,1326,16,0.0121,13,0.0098,-3,-0.0023,1326,16,0.0121,13,0.0098,-3,-0.0023
closure74,2645,2645,1.0000,2645,1.0000,0,0.0000,2645,2645,1.0000,2645,1.0000,0,0.0000,2645,2645,1.0000,2645,1.0000,0,0.0000,2645,2645,1.0000,2645,1.0000,0,0.0000
closure75,2378,2378,1.0000,2378,1.0000,0,0.0000,2378,2378,1.0000,2378,1.0000,0,0.0000,2378,2378,1.0000,2378,1.0000,0,0.0000,2378,2378,1.0000,2378,1.0000,0,0.0000
closure76,3229,3229,1.0000,3229,1.0000,0,0.0000,3229,3229,1.0000,3229,1.0000,0,0.0000,3229,3229,1.0000,3229,1.0000,0,0.0000,3229,3229,1.0000,3229,1.0000,0,0.0000
closure77,1272,1272,1.0000,1272,1.0000,0,0.0000,1272,1272,1.0000,1272,1.0000,0,0.0000,1272,1272,1.0000,1272,1.0000,0,0.0000,1272,1272,1.0000,1272,1.0000,0,0.0000
closure78,2458,2458,1.0000,2458,1.0000,0,0.0000,2458,2458,1.0000,2458,1.0000,0,0.0000,2458,2458,1.0000,2458,1.0000,0,0.0000,2458,2458,1.0000,2458,1.0000,0,0.0000
closure79,2481,2481,1.0000,2481,1.0000,0,0.0000,2481,2481,1.0000,2481,1.0000,0,0.0000,2481,2481,1.0000,2481,1.0000,0,0.0000,2481,2481,1.0000,2481,1.0000,0,0.0000
closure80,1320,1320,1.0000,1320,1.0000,0,0.0000,1320,1320,1.0000,1320,1.0000,0,0.0000,1320,1320,1.0000,1320,1.0000,0,0.0000,1320,1320,1.0000,1320,1.0000,0,0.0000
