BugId,Total,jaccard,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,tarantula,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,ochiai,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,dstar,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff
closure40,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000
closure41,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000
closure42,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000
closure43,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000
closure44,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000
closure45,3456,348,0.1007,347,0.1004,-1,-0.0003,3456,348,0.1007,347,0.1004,-1,-0.0003,3456,348,0.1007,347,0.1004,-1,-0.0003,3456,348,0.1007,347,0.1004,-1,-0.0003
closure46,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000
closure47,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000
closure48,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000
closure49,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000
