ID,jaccard_fl,jaccard_flash,tarantula_fl,tarantula_flash,ochiai_fl,ochiai_flash,dstar_fl,dstar_flash
closure117,0.843237524246,0.357432551578,0.846058896138,0.360077587727,0.843237524246,0.357432551578,0.843413859989,0.357432551578
closure118,0.84072327044,0.342610062893,0.841509433962,0.344496855346,0.838679245283,0.340880503145,0.837578616352,0.341194968553
closure119,0.930883639545,0.549722951298,0.933508311461,0.552055993001,0.930883639545,0.549722951298,0.930883639545,0.549722951298
closure120,0.848888888889,0.416993464052,0.853333333333,0.42091503268,0.848888888889,0.416993464052,0.848888888889,0.416993464052
closure121,0.932794998698,0.51549882782,0.934878874707,0.517061734827,0.933055483199,0.515759312321,0.932794998698,0.51549882782
closure122,0.94,0.57652173913,0.941739130435,0.578260869565,0.94,0.57652173913,0.94,0.57652173913
closure123,0.870636550308,0.483059548255,0.874743326489,0.487166324435,0.870636550308,0.483059548255,0.870636550308,0.483059548255
closure124,0.956775300172,0.601715265866,0.959519725557,0.603773584906,0.957118353345,0.602058319039,0.956775300172,0.601715265866
closure125,0.844576835465,0.354301734712,0.847205186613,0.35675486245,0.844401612055,0.354126511302,0.844401612055,0.354126511302
closure126,0.949745737362,0.553694286569,0.950942267424,0.555189949147,0.947651809752,0.554591684116,0.946156147173,0.551899491475
closure127,0.93846962924,0.514593741783,0.938206678938,0.518275046016,0.931107020773,0.511438338154,0.931369971075,0.512227189061
closure128,0.903329065301,0.554417413572,0.908450704225,0.559539052497,0.903329065301,0.554417413572,0.903329065301,0.554417413572
closure129,0.867195534009,0.409284560012,0.872924930219,0.41325106508,0.86837079477,0.409578375202,0.866901718819,0.408990744822
closure130,0.940078585462,0.533398821218,0.942288801572,0.535609037328,0.940569744597,0.533644400786,0.940078585462,0.533398821218
closure131,0.910452843037,0.54000680967,0.911474293497,0.541709227102,0.907388491658,0.538304392237,0.907388491658,0.538304392237
closure132,0.940441882805,0.570284982389,0.942363112392,0.572526416907,0.941082292667,0.57060518732,0.940441882805,0.570284982389
closure133,0.904905660377,0.531320754717,0.90641509434,0.532830188679,0.904905660377,0.531320754717,0.904905660377,0.531320754717
lang1,0.842105263158,0.447368421053,0.842105263158,0.447368421053,0.842105263158,0.447368421053,0.842105263158,0.447368421053
lang2,0.793103448276,0.172413793103,0.793103448276,0.172413793103,0.793103448276,0.172413793103,0.793103448276,0.172413793103
lang3,0.839285714286,0.303571428571,0.839285714286,0.303571428571,0.839285714286,0.303571428571,0.839285714286,0.303571428571
lang4,0.869565217391,0.130434782609,0.869565217391,0.130434782609,0.869565217391,0.130434782609,0.869565217391,0.130434782609
lang5,0.8125,0.25,0.8125,0.25,0.8125,0.25,0.8125,0.25
lang6,0.907692307692,0.507692307692,0.907692307692,0.507692307692,0.907692307692,0.507692307692,0.907692307692,0.507692307692
lang7,0.972350230415,0.705069124424,0.972350230415,0.705069124424,0.972350230415,0.705069124424,0.972350230415,0.705069124424
lang8,0.900641025641,0.259615384615,0.900641025641,0.259615384615,0.894230769231,0.253205128205,0.894230769231,0.253205128205
lang9,0.898058252427,0.296116504854,0.907766990291,0.300970873786,0.888349514563,0.291262135922,0.888349514563,0.291262135922
lang10,0.900763358779,0.263358778626,0.912213740458,0.267175572519,0.896946564885,0.259541984733,0.900763358779,0.263358778626
lang11,0.636363636364,0.0,0.636363636364,0.0,0.636363636364,0.0,0.636363636364,0.0
lang12,0.705882352941,0.117647058824,0.705882352941,0.117647058824,0.705882352941,0.117647058824,0.647058823529,0.117647058824
lang13,0.655172413793,0.103448275862,0.655172413793,0.103448275862,0.655172413793,0.103448275862,0.655172413793,0.103448275862
lang14,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
lang15,0.983333333333,0.595238095238,0.985714285714,0.592857142857,0.980952380952,0.580952380952,0.983333333333,0.621428571429
lang16,0.95,0.47,0.95,0.47,0.95,0.47,0.95,0.47
lang17,0.893129770992,0.511450381679,0.893129770992,0.511450381679,0.893129770992,0.511450381679,0.893129770992,0.511450381679
lang18,0.916363636364,0.298181818182,0.92,0.301818181818,0.916363636364,0.298181818182,0.916363636364,0.298181818182
lang19,0.615384615385,0.0384615384615,0.576923076923,0.0384615384615,0.615384615385,0.0384615384615,0.615384615385,0.0384615384615
lang20,0.895833333333,0.270833333333,0.895833333333,0.270833333333,0.895833333333,0.270833333333,0.895833333333,0.270833333333
lang21,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25
lang22,0.869565217391,0.333333333333,0.884057971014,0.333333333333,0.869565217391,0.333333333333,0.884057971014,0.333333333333
lang23,0.985185185185,0.4,0.985185185185,0.4,0.985185185185,0.4,0.985185185185,0.4
lang24,0.9625,0.4625,0.9625,0.4625,0.9625,0.4625,0.9625,0.4625
