Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.lang3.time.FastDatePrinter#178,633,661,663,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#179,663,954,430,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#181,430,408,220,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#182,528,2502,2503,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#183,2503,2501,1678,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#184,1678,1677,1505,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#186,1505,4502,4504,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#187,4504,4745,627,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#192,945,2255,2257,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#194,2257,-1,7668,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#217,-1,-1,-1,0.0127,0.4232,0.0801,0.0128
org.apache.commons.lang3.time.FastDatePrinter#218,-1,-1,540,0.0127,0.4232,0.0801,0.0128
org.apache.commons.lang3.time.FastDatePrinter#273,-1,-1,-1,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#274,-1,-1,3202,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#275,115,116,117,0.0118,0.4050,0.0772,0.0119
org.apache.commons.lang3.time.FastDatePrinter#277,115,116,117,0.0238,0.5855,0.1104,0.0244
org.apache.commons.lang3.time.FastDatePrinter#279,3202,3201,3203,0.0238,0.5855,0.1104,0.0244
org.apache.commons.lang3.time.FastDatePrinter#284,7668,7667,1042,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#287,220,219,221,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#298,55,951,953,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#300,953,952,633,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#301,633,634,635,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#303,635,1024,870,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#304,870,3557,3563,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#307,981,979,982,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#309,982,980,983,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#310,49,201,203,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#311,203,202,204,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#320,472,3067,3069,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#322,3069,8791,7790,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#324,7790,7789,755,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#325,72,71,73,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#327,73,68,74,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#328,135,134,136,0.0213,0.5567,0.1043,0.0217
org.apache.commons.lang3.time.FastDatePrinter#333,115,116,117,0.0213,0.5567,0.1043,0.0217
org.apache.commons.lang3.time.FastDatePrinter#335,-1,-1,11098,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#337,-1,16405,-1,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#338,-1,-1,-1,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#340,128,120,122,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#345,3563,3558,3100,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#346,3100,3099,514,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#357,1974,1952,1957,0.0116,0.4021,0.0767,0.0118
org.apache.commons.lang3.time.FastDatePrinter#359,-1,-1,-1,0.0476,0.7483,0.1581,0.0500
org.apache.commons.lang3.time.FastDatePrinter#599,-1,-1,-1,0.0118,0.4050,0.0772,0.0119
org.apache.commons.lang3.time.FastDatePrinter#600,115,116,117,0.0118,0.4050,0.0772,0.0119
org.apache.commons.lang3.time.FastDatePrinter#601,-1,-1,-1,0.0118,0.4050,0.0772,0.0119
org.apache.commons.lang3.time.FastDatePrinter#608,15,14,16,0.0118,0.4050,0.0772,0.0119
org.apache.commons.lang3.time.FastDatePrinter#632,-1,-1,-1,0.0238,0.5855,0.1104,0.0244
org.apache.commons.lang3.time.FastDatePrinter#633,115,116,117,0.0238,0.5855,0.1104,0.0244
org.apache.commons.lang3.time.FastDatePrinter#634,-1,-1,-1,0.0238,0.5855,0.1104,0.0244
org.apache.commons.lang3.time.FastDatePrinter#641,15,14,16,0.0238,0.5855,0.1104,0.0244
org.apache.commons.lang3.time.FastDatePrinter#707,-1,-1,-1,0.0476,0.7483,0.1581,0.0500
org.apache.commons.lang3.time.FastDatePrinter#708,115,116,117,0.0476,0.7483,0.1581,0.0500
org.apache.commons.lang3.time.FastDatePrinter#709,-1,-1,-1,0.0476,0.7483,0.1581,0.0500
org.apache.commons.lang3.time.FastDatePrinter#716,15,14,16,0.0476,0.7483,0.1581,0.0500
org.apache.commons.lang3.time.FormatCache#171,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FormatCache#179,-1,-1,-1,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#180,115,116,117,0.0114,0.3965,0.0758,0.0115
org.apache.commons.lang3.time.FormatCache#181,-1,-1,-1,0.0114,0.3965,0.0758,0.0115
