Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.mockito.internal.creation.MockSettingsImpl#147,92,497,499,0.0010,0.5117,0.0312,0.0010
org.mockito.internal.creation.MockSettingsImpl#148,499,684,686,0.0010,0.5119,0.0312,0.0010
org.mockito.internal.creation.MockSettingsImpl#149,686,687,688,0.0010,0.5122,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#154,688,1778,564,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#156,564,5601,1776,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#157,1776,1775,499,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#158,499,3570,3514,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#159,3514,3513,351,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#160,351,350,88,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#164,49,111,112,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#165,112,110,114,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#168,114,113,103,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#27,-1,-1,-1,0.0010,0.5105,0.0311,0.0010
org.mockito.internal.creation.MockSettingsImpl#32,15,14,16,0.0139,0.9380,0.1179,0.0141
org.mockito.internal.creation.MockSettingsImpl#36,2803,2801,2804,0.0137,0.9372,0.1170,0.0139
org.mockito.internal.creation.MockSettingsImpl#37,2804,2798,514,0.0137,0.9372,0.1170,0.0139
org.mockito.internal.creation.MockSettingsImpl#61,15,14,16,0.0010,0.5117,0.0312,0.0010
org.mockito.internal.creation.MockSettingsImpl#65,15,14,16,0.0010,0.5119,0.0312,0.0010
org.mockito.internal.creation.MockSettingsImpl#79,72,6045,6044,0.0010,0.5105,0.0311,0.0010
org.mockito.internal.creation.MockSettingsImpl#80,6044,6046,3128,0.0010,0.5105,0.0311,0.0010
org.mockito.internal.creation.MockSettingsImpl#83,3128,3127,103,0.0010,0.5105,0.0311,0.0010
org.mockito.internal.creation.cglib.CGLIBHacker#13,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.cglib.CGLIBHacker#19,55,500,502,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#20,502,1606,1308,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#21,1308,2155,1313,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.cglib.CGLIBHacker#22,1313,2529,1125,0.0015,0.6165,0.0387,0.0015
